Date,Open,High,Low,Close,Volume
2021-09-20 00:00:00-04:00,136.8592025107944,137.68979986076525,135.03704858862534,137.4119415283203,46518000
2021-09-21 00:00:00-04:00,138.43222649685097,138.69176548662895,136.9746001490419,137.7224884033203,25332000
2021-09-22 00:00:00-04:00,137.99092214087034,139.55899341584305,137.24551278316375,138.961181640625,25056000
2021-09-23 00:00:00-04:00,139.65858689797682,140.3609036623911,139.07811185180083,139.8849334716797,20952000
2021-09-24 00:00:00-04:00,139.21378542182566,140.9889014490048,138.91908904507557,140.87448120117188,22984000
2021-09-27 00:00:00-04:00,139.4772834307907,140.60059702550436,138.74723086445857,139.7422637939453,21882000
2021-09-28 00:00:00-04:00,137.34803586719997,137.7853721088004,134.08409637223073,134.54966735839844,45772000
2021-09-29 00:00:00-04:00,135.6888354361308,135.85822880609126,132.60320680070598,133.08709716796875,30848000
2021-09-30 00:00:00-04:00,132.99596110436238,134.26487713453415,132.2971058010185,132.4159698486328,37996000
2021-10-01 00:00:00-04:00,133.18016825399758,135.61996414886843,132.80920186499142,135.25592041015625,35360000
2021-10-04 00:00:00-04:00,134.67891789407685,134.67891789407685,129.8147127344606,132.3996124267578,51202000
2021-10-05 00:00:00-04:00,132.77750226995343,135.93099611936512,132.77750226995343,134.74081420898438,32404000
2021-10-06 00:00:00-04:00,133.47985735059552,136.45157959216723,133.28174555748294,136.26832580566406,24364000
2021-10-07 00:00:00-04:00,137.58280506274824,138.72197425447405,137.34407938421361,137.9126739501953,25110000
2021-10-08 00:00:00-04:00,138.26134957359187,139.00824022807984,137.90524110595646,138.4678955078125,26526000
2021-10-11 00:00:00-04:00,137.9790418985693,139.3856551740966,137.55010956888324,137.60459899902344,17954000
2021-10-12 00:00:00-04:00,138.16527798869242,138.19203147139953,134.4803409473928,135.16285705566406,36332000
2021-10-13 00:00:00-04:00,136.10737433714348,136.69924607727947,135.23220283641277,136.28518676757812,19654000
2021-10-14 00:00:00-04:00,138.1593012632748,140.00523062194034,137.51641675537215,139.82049560546875,31894000
2021-10-15 00:00:00-04:00,140.2796283145094,140.3821530750547,139.42823295670377,140.0354461669922,30274000
2021-10-18 00:00:00-04:00,139.74672063679765,141.4500103351122,139.7397828702763,141.4321746826172,20396000
2021-10-19 00:00:00-04:00,142.03590438610263,142.30832126285318,141.25583655099084,141.88682556152344,20164000
2021-10-20 00:00:00-04:00,141.9869044494379,142.1929515962264,140.04389134259256,140.4326934814453,23288000
2021-10-21 00:00:00-04:00,140.4326824733916,140.81604319627527,139.1756468498999,140.548583984375,26292000
2021-10-22 00:00:00-04:00,137.83836064745896,139.25785180366452,134.77353061581803,136.26979064941406,50588000
2021-10-25 00:00:00-04:00,136.2534694690779,136.69922478778497,134.14750193472992,136.1514434814453,34412000
2021-10-26 00:00:00-04:00,137.95080257189426,138.7625665768636,137.0008424939082,137.99537658691406,49236000
2021-10-27 00:00:00-04:00,138.0909489197362,147.24879949661485,138.0909489197362,144.8392333984375,85782000
2021-10-28 00:00:00-04:00,145.74760253688694,145.77087957264158,143.26373121245243,144.47421264648438,36206000
2021-10-29 00:00:00-04:00,143.71050193740845,146.84467961742357,143.28604362604932,146.65052795410156,43320000
2021-11-01 00:00:00-04:00,146.65049476789736,146.65049476789736,141.87542297796065,142.1443634033203,46924000
2021-11-02 00:00:00-04:00,143.2167042160869,145.22706960553992,142.97500087453776,144.06166076660156,33482000
2021-11-03 00:00:00-04:00,144.52523624092677,145.28650117069887,143.22808554087496,145.21617126464844,27494000
2021-11-04 00:00:00-04:00,145.73768752512296,148.32210355915961,144.92888610521643,146.8699188232422,38412000
2021-11-05 00:00:00-04:00,147.76341051453076,148.91049982568654,146.80008886811825,147.44891357421875,38354000
2021-11-08 00:00:00-05:00,148.4127275313217,149.19528935553726,147.03137153960657,147.626220703125,23052000
2021-11-09 00:00:00-05:00,147.8263354686144,148.422167196909,145.85706777321636,147.51480102539062,19530000
2021-11-10 00:00:00-05:00,146.1096586376128,146.6742930482063,143.17508933638337,144.51829528808594,29970000
2021-11-11 00:00:00-05:00,145.10869397753137,146.144839595857,144.22806618195017,144.3925018310547,16518000
2021-11-12 00:00:00-05:00,145.23349148333662,147.4469412284045,144.04034683138687,147.27655029296875,22360000
2021-11-15 00:00:00-05:00,147.49697791828982,148.13986257214947,146.1839714501009,147.05270385742188,23508000
2021-11-16 00:00:00-05:00,146.75303721658253,147.36025044711448,145.92392127932118,146.48211669921875,18904000
2021-11-17 00:00:00-05:00,146.63218759828888,147.15917066321168,145.85211965055908,146.65150451660156,19594000
2021-11-18 00:00:00-05:00,146.84418530798982,149.16114250750712,146.49055568916586,148.42613220214844,35608000
2021-11-19 00:00:00-05:00,148.56182849438522,149.5434998037264,147.49548317893243,147.52272033691406,33682000
2021-11-22 00:00:00-05:00,147.92489515967466,148.4172045095236,144.76991940785044,144.92295837402344,30594000
2021-11-23 00:00:00-05:00,144.77538788745673,145.2776127448071,142.75660327261244,144.4078826904297,27218000
2021-11-24 00:00:00-05:00,144.10227001877251,144.87095645122443,143.0121488357991,144.74267578125,18040000
2021-11-26 00:00:00-05:00,142.9878736557524,143.19490326925998,140.5054983534825,140.84278869628906,30470000
2021-11-29 00:00:00-05:00,142.64264622326615,144.91849043687807,142.53714381167404,144.15872192382812,32596000
2021-11-30 00:00:00-05:00,143.64166614265122,144.62382122707982,140.26678242012085,140.55999755859375,42068000
2021-12-01 00:00:00-05:00,142.6426635104405,144.5747786828492,139.58377337669666,139.72195434570312,34020000
2021-12-02 00:00:00-05:00,139.91856472972714,142.50842215106744,138.89281831208532,141.61839294433594,29194000
2021-12-03 00:00:00-05:00,142.32668327067537,143.03890027570796,138.9785378288507,140.6630096435547,41230000
2021-12-06 00:00:00-05:00,141.69219562959748,142.49653820256228,138.8289386103009,141.8056182861328,30618000
2021-12-07 00:00:00-05:00,144.22409805259204,146.14037256639585,143.8585729968473,145.88133239746094,32240000
2021-12-08 00:00:00-05:00,146.20525307367103,146.9942539766536,145.0259839079488,146.78968811035156,24270000
2021-12-09 00:00:00-05:00,146.1998038220425,147.69458257877415,145.72829267560041,146.24685668945312,23270000
2021-12-10 00:00:00-05:00,147.2983475495059,147.57322820089257,145.32115971227452,146.60643005371094,24458000
2021-12-13 00:00:00-05:00,146.38849352115918,146.57522371786737,144.1458417908545,144.45193481445312,27070000
2021-12-14 00:00:00-05:00,142.6109361906856,143.11810346460078,139.88388049756273,142.55050659179688,38446000
2021-12-15 00:00:00-05:00,142.057220419799,145.33799793275747,140.3425340803802,145.06063842773438,36370000
2021-12-16 00:00:00-05:00,145.78326939220364,146.2849953541412,142.25335200656264,143.08346557617188,33650000
2021-12-17 00:00:00-05:00,141.1568032286509,142.47872745262327,139.9681173823491,140.3891143798828,50416000
2021-12-20 00:00:00-05:00,138.6803545036419,140.43813355928052,138.0077539378615,140.27220153808594,27192000
2021-12-21 00:00:00-05:00,140.71450164649497,142.5128946761984,139.17812644459522,142.12013244628906,28756000
2021-12-22 00:00:00-05:00,141.71894670487805,145.1190870300756,141.71894670487805,145.03488159179688,26322000
2021-12-23 00:00:00-05:00,145.1190840665869,146.84614951123285,145.07153240558975,145.5316619873047,26384000
2021-12-27 00:00:00-05:00,145.86796324695013,146.9457052312204,145.78227653939464,146.5123291015625,15976000
2021-12-28 00:00:00-05:00,146.8387472271471,146.90115690740393,144.67782149510623,145.30435180664062,18200000
2021-12-29 00:00:00-05:00,145.26221443419607,146.02743941952565,144.27461818483408,145.27261352539062,17788000
2021-12-30 00:00:00-05:00,145.31126625234555,145.91155689259517,144.61836625158207,144.82241821289062,15688000
2021-12-31 00:00:00-05:00,144.67332366033148,145.3157093947341,143.4866180419922,143.4866180419922,18136000
2022-01-03 00:00:00-05:00,143.68769497903742,144.47619703135243,142.35834947327606,143.6248016357422,28646000
2022-01-04 00:00:00-05:00,144.02547327559515,145.1042126846341,142.36181523730556,143.0383758544922,28400000
2022-01-05 00:00:00-05:00,143.0587024090049,143.13745135306127,136.3901632285162,136.47633361816406,54618000
2022-01-06 00:00:00-05:00,135.7071485529665,138.62091962175828,135.27129360084805,136.44908142089844,37348000
2022-01-07 00:00:00-05:00,136.84332084249846,137.14347368557924,134.48674768484292,135.7254638671875,29760000
2022-01-10 00:00:00-05:00,133.8047579348391,137.51099140949978,131.90929663777965,137.36239624023438,44408000
2022-01-11 00:00:00-05:00,136.70614733101905,138.89432489527653,135.4040389194939,138.41883850097656,28730000
2022-01-12 00:00:00-05:00,139.81952326901038,141.26378799505596,139.36832657676754,140.09738159179688,26108000
2022-01-13 00:00:00-05:00,140.20586942145763,141.5035343552344,137.10438478194067,137.2807159423828,31436000
2022-01-14 00:00:00-05:00,135.7869032841477,139.41538580331004,135.70717186275306,138.165771484375,29662000
2022-01-18 00:00:00-05:00,134.89141323912568,135.8388944592343,134.1618595013737,134.71607971191406,34872000
2022-01-19 00:00:00-05:00,135.2366462750776,136.65911532585005,133.74286483474455,133.84291076660156,28648000
2022-01-20 00:00:00-05:00,134.96571815865502,136.3287551036395,131.7111798903732,132.0509490966797,29908000
