dataset,analysis_mode,domain,family,raw_nodes,retained_nodes,nodes_retained_pct,raw_events,retained_events,events_retained_pct,raw_span_days,evaluated_span_days,snapshots,partition,community_mode,node_selection_mode,leakage_safe_selection,edges_median,density_median,bridge_width_min,bridge_width_max,snapshots_zero_bridge,connected_snapshots,explanation_rows,valid_rows,invalid_rows,invalid_pct,edge_count_infeasible_settings,edge_count_settings_checked,noop_rows_valid,noop_pct_valid,expected_invariance_verified,trend_ok,trend_settings,trend_saturated,trend_wrong_direction,trend_max_saturated_pct
decentraland,temporal_evaluation,DAO governance,bipartite (projected),4133,100,2.42,53533,4996,9.33,705.0,564.0,19,50/50,temporal_train,temporal_train,True,299,0.0604,36,493,0,0,180,144,36,20.0,3,30,0,0.0,True,3,6,3,0,26.3
tgbl_wiki,temporal_evaluation,wiki editing,bipartite (projected),1000,100,10.0,157474,13267,8.42,31.0,24.8,13,25/75,temporal_train,temporal_train,True,19,0.0038,0,29,1,0,180,144,36,20.0,4,30,18,12.5,True,4,6,2,0,30.8
bitcoin_alpha,temporal_evaluation,crypto trust,unipartite (observed),3783,120,3.17,24186,415,1.72,1901.0,1520.8,13,39/81,temporal_train,temporal_train,True,12,0.0017,1,25,0,0,180,138,42,23.3,5,30,36,26.1,True,4,6,2,0,15.4
bitcoin_otc,temporal_evaluation,crypto trust,unipartite (observed),5881,120,2.04,35592,414,1.16,1903.3,1522.6,14,45/75,temporal_train,temporal_train,True,9,0.0013,1,25,0,0,180,132,48,26.7,5,30,36,27.3,True,3,6,3,0,21.4
email_eu_core,temporal_evaluation,email (institution),unipartite (observed),986,201,20.39,332334,12599,3.79,803.9,643.1,12,109/92,ground_truth_labels,ground_truth_labels,True,175,0.0087,11,139,0,0,180,138,42,23.3,5,30,0,0.0,True,4,6,2,0,25.0
sx_mathoverflow,temporal_evaluation,Q&A interaction,unipartite (observed),24818,120,0.48,506550,10685,2.11,2350.3,1880.3,16,57/63,temporal_train,temporal_train,True,236,0.0331,29,386,0,0,180,162,18,10.0,2,30,0,0.0,True,5,6,1,0,6.2
tgbl_enron,temporal_evaluation,email (corporate),unipartite (observed),184,25,13.59,125235,18510,14.78,1316.4,1053.2,18,8/17,temporal_train,temporal_train,True,40,0.135,0,28,2,0,180,144,36,20.0,3,30,12,8.3,True,3,6,3,0,50.0
tgbl_uci,temporal_evaluation,student messaging,unipartite (observed),1899,120,6.32,59835,1663,2.78,193.7,155.0,16,55/65,temporal_train,temporal_train,True,13,0.0018,1,74,0,0,180,138,42,23.3,4,30,36,26.1,True,3,6,3,0,50.0
