analysis_mode,snapshot_index,label,bridge_width,density,centralization,clustering
temporal_evaluation,0,2021-10,234.0,0.10525252525252525,0.27396413110698825,0.4015508469797426
temporal_evaluation,1,2021-11,387.0,0.1696969696969697,0.4246547103689961,0.48535936607654745
temporal_evaluation,2,2021-12,493.0,0.20343434343434344,0.39022881880024735,0.5154282348631484
temporal_evaluation,3,2022-01,112.0,0.06262626262626263,0.2453102453102453,0.3414088147770649
temporal_evaluation,4,2022-02,197.0,0.0795959595959596,0.2898371469800041,0.3977282682752278
temporal_evaluation,5,2022-03,180.0,0.0705050505050505,0.3094207379921666,0.31393846674695813
temporal_evaluation,6,2022-04,80.0,0.03494949494949495,0.2220160791589363,0.21977075473546065
temporal_evaluation,7,2022-05,180.0,0.07616161616161617,0.28303442589156874,0.33708033739664395
temporal_evaluation,8,2022-06,124.0,0.05494949494949495,0.24283652855081425,0.2632132457146916
temporal_evaluation,9,2022-07,99.0,0.041212121212121214,0.24654710368996083,0.25642604370921107
temporal_evaluation,10,2022-08,173.0,0.07777777777777778,0.2813852813852814,0.3324375170373004
temporal_evaluation,11,2022-09,155.0,0.06181818181818182,0.266749123891981,0.32169303930856386
temporal_evaluation,12,2022-10,131.0,0.05171717171717172,0.27705627705627706,0.2920840675948381
temporal_evaluation,13,2022-11,148.0,0.060404040404040404,0.2784992784992785,0.3312011641653571
temporal_evaluation,14,2022-12,123.0,0.05070707070707071,0.2574726860441146,0.29659798201261345
temporal_evaluation,15,2023-01,48.0,0.023434343434343436,0.2028447742733457,0.19543889589942218
temporal_evaluation,16,2023-02,64.0,0.024444444444444446,0.160585446299732,0.18649568242215306
temporal_evaluation,17,2023-03,47.0,0.021616161616161617,0.19439290867862297,0.1821732124085065
temporal_evaluation,18,2023-04,36.0,0.013737373737373737,0.15089672232529375,0.14948412698412697
