experiment,model,concept,direction,expectation_kind,expected,expected_full,measured,absolute_error,relative_error,sign_correct,achieved_delta,requested_delta_value,overshoot_ratio,normalizer,noop,reference_concept,comparable,seed
RQ1,C-weighted (2bw+3c),Bridge Trend,increase,measured,,-5.244252873563221,-5.244252873563223,,,,0.6285714285714283,0.1,6.285714285714283,achieved,False,Bridge Width,False,42
RQ1,C-weighted (2bw+3c),Bridge Trend,decrease,measured,,4.682830459770114,4.682830459770113,,,,-1.1428571428571428,-0.1,11.428571428571427,achieved,False,Bridge Width,False,42
RQ1,C-weighted (2bw+3c),Churn,increase,measured,,-0.03534560502590223,-0.03534560502590634,,,,0.5226365877851986,0.1,5.226365877851986,achieved,False,Bridge Width,False,42
RQ1,C-weighted (2bw+3c),Churn,decrease,measured,,0.0,0.0,,,,-0.07907008057352824,-0.1,0.7907008057352823,achieved,False,Bridge Width,False,42
RQ1,D-slope-of-bridge,Bridge Width,increase,measured,,,-8.944859723915713e-16,,,,0.125,0.1,1.25,achieved,False,Bridge Trend,False,42
RQ1,D-slope-of-bridge,Bridge Width,decrease,measured,,,-1.5829447121832076e-15,,,,-0.125,-0.1,1.25,achieved,False,Bridge Trend,False,42
RQ1,D-slope-of-bridge,Centralization,increase,zero,0.0,,0.0,0.0,,True,2.9499999999999993,0.1,29.499999999999993,achieved,False,Bridge Trend,False,42
RQ1,D-slope-of-bridge,Centralization,decrease,zero,-0.0,,0.0,0.0,,True,-0.6,-0.1,5.999999999999999,achieved,False,Bridge Trend,False,42
RQ1,D-slope-of-bridge,Density,increase,zero,0.0,,0.0,0.0,,True,0.1,0.1,1.0,achieved,False,Bridge Trend,False,42
RQ1,D-slope-of-bridge,Density,decrease,zero,-0.0,,0.0,0.0,,True,-0.1,-0.1,1.0,achieved,False,Bridge Trend,False,42
RQ1,D-slope-of-bridge,Bridge Trend,increase,exact,1.0,,1.0,0.0,0.0,True,0.6285714285714283,0.1,6.285714285714283,achieved,False,Bridge Trend,True,42
RQ1,D-slope-of-bridge,Bridge Trend,decrease,exact,-1.0,,-1.0,0.0,0.0,True,-1.1428571428571428,-0.1,11.428571428571427,achieved,False,Bridge Trend,True,42
RQ1,D-slope-of-bridge,Churn,increase,zero,0.0,,0.0,0.0,,True,0.5226365877851986,0.1,5.226365877851986,achieved,False,Bridge Trend,False,42
RQ1,D-slope-of-bridge,Churn,decrease,zero,-0.0,,0.0,0.0,,True,-0.07907008057352824,-0.1,0.7907008057352823,achieved,False,Bridge Trend,False,42
