experiment,size,nodes_per_community,nominal_bridge_width,mean_bridge_width,seed,requested_delta,discreteness_threshold,above_threshold,direction,expected,measured,absolute_error,relative_error,achieved_delta,noop,edge_count_preserved
RQ7,large,30,12,12.0,1,0.25,0.041666666666666664,True,increase,12.0,12.0,0.0,0.0,0.25,False,True
RQ7,large,30,12,12.0,1,-0.25,0.041666666666666664,True,decrease,-12.0,-12.0,0.0,0.0,-0.25,False,True
RQ7,large,30,12,12.0,2,0.1,0.041666666666666664,True,increase,12.0,12.0,0.0,0.0,0.08333333333333333,False,True
RQ7,large,30,12,12.0,2,-0.1,0.041666666666666664,True,decrease,-12.0,-12.0,0.0,0.0,-0.08333333333333333,False,True
RQ7,large,30,12,12.0,2,0.25,0.041666666666666664,True,increase,12.0,12.0,0.0,0.0,0.25,False,True
RQ7,large,30,12,12.0,2,-0.25,0.041666666666666664,True,decrease,-12.0,-12.0,0.0,0.0,-0.25,False,True
RQ7,large,30,12,12.0,3,0.1,0.041666666666666664,True,increase,12.0,12.0,0.0,0.0,0.08333333333333333,False,True
RQ7,large,30,12,12.0,3,-0.1,0.041666666666666664,True,decrease,-12.0,-12.0,0.0,0.0,-0.08333333333333333,False,True
RQ7,large,30,12,12.0,3,0.25,0.041666666666666664,True,increase,12.0,12.0,0.0,0.0,0.25,False,True
RQ7,large,30,12,12.0,3,-0.25,0.041666666666666664,True,decrease,-12.0,-12.0,0.0,0.0,-0.25,False,True
RQ7,large,30,12,12.0,4,0.1,0.041666666666666664,True,increase,12.0,12.0,0.0,0.0,0.08333333333333333,False,True
RQ7,large,30,12,12.0,4,-0.1,0.041666666666666664,True,decrease,-12.0,-12.0,0.0,0.0,-0.08333333333333333,False,True
RQ7,large,30,12,12.0,4,0.25,0.041666666666666664,True,increase,12.0,12.0,0.0,0.0,0.25,False,True
RQ7,large,30,12,12.0,4,-0.25,0.041666666666666664,True,decrease,-12.0,-12.0,0.0,0.0,-0.25,False,True
