experiment,variation_source,label,n,mean,std,min,max,coefficient_of_variation
RQ3,graph_seed,Decrease Bridge Trend (10.0%),10,4.6828304597701145,0.022859055426288733,4.650502873563219,4.71515804597701,0.004881461249274207
RQ3,graph_seed,Decrease Bridge Width (10.0%),10,-15.940886699507388,0.22118171744476972,-16.29556650246306,-15.408866995073879,0.013875120099285617
RQ3,graph_seed,Decrease Centralization (10.0%),10,-0.44371921182266005,0.10078083666549056,-0.6243842364532011,-0.3177339901477798,0.2271275031151217
RQ3,graph_seed,Decrease Churn (10.0%),10,0.10941000335252045,0.26155339435919356,-0.22983073725794223,0.5930252805713595,2.39058026089685
RQ3,graph_seed,Decrease Density (10.0%),10,0.08661740558292502,0.5155027779083062,-1.0640394088669836,0.7536945812808042,5.951491786656882
RQ3,graph_seed,Increase Bridge Trend (10.0%),10,-5.303030303030306,0.04156191895688898,-5.361807732497395,-5.214864158829683,0.007837390431870489
RQ3,graph_seed,Increase Bridge Width (10.0%),10,16.10344827586207,0.4285714285714317,15.408866995073879,16.88669950738918,0.02661364331599897
RQ3,graph_seed,Increase Centralization (10.0%),10,0.4437192118226599,0.1007808366654905,0.31773399014778353,0.6243842364532001,0.22712750311512162
RQ3,graph_seed,Increase Churn (10.0%),10,0.012399989895693955,0.08774681265154743,-0.08774727969851334,0.15658570177133463,7.076361625263789
RQ3,graph_seed,Increase Density (10.0%),10,0.10991379310344913,0.40782082926369245,-0.6206896551723897,0.9051724137930705,3.7103698976147417
RQ3,transformation_seed,Decrease Bridge Trend (10.0%),10,4.663433908045975,0.014091268136446332,4.650502873563216,4.682830459770113,0.0030216506579270283
RQ3,transformation_seed,Decrease Bridge Width (10.0%),10,-15.940886699507391,0.1354455870430277,-16.0,-15.556650246305423,0.008496741090770896
RQ3,transformation_seed,Decrease Centralization (10.0%),10,-0.3694581280788197,0.0,-0.3694581280788197,-0.3694581280788197,0.0
RQ3,transformation_seed,Decrease Churn (10.0%),10,-0.04672540174476401,0.14017620523426955,-0.23362700872379755,0.2336270087237526,2.999999999999519
RQ3,transformation_seed,Decrease Density (10.0%),10,-0.05541871921183272,0.40514246673881904,-0.7389162561576512,0.5541871921182207,7.310570733152474
RQ3,transformation_seed,Increase Bridge Trend (10.0%),10,-5.308908045977016,0.025620487520811055,-5.361807732497392,-5.2736415882967655,0.004825942980915962
RQ3,transformation_seed,Increase Bridge Width (10.0%),10,15.970443349753694,0.08866995073891815,15.70443349753694,16.0,0.005552128315854529
RQ3,transformation_seed,Increase Centralization (10.0%),10,0.36945812807881795,5.551115123125783e-17,0.3694581280788179,0.3694581280788179,1.5025018266593777e-16
RQ3,transformation_seed,Increase Churn (10.0%),10,0.03534560502590158,0.03534560502590362,-0.03534560502590634,0.07069121005180588,1.0000000000000577
RQ3,transformation_seed,Increase Density (10.0%),10,0.2770935960591139,0.662196366832574,-0.5541871921182207,1.2931034482758719,2.389793110524662
