experiment,transformation,property,is_intended,before,after,change,relative_change,delta,seed
RQ6,Bridge Width,bridge width,True,8.0,9.0,1.0,0.125,0.1,42
RQ6,Bridge Width,centralization,False,0.12315270935960591,0.1293103448275862,0.006157635467980274,0.04999999999999982,0.1,42
RQ6,Bridge Width,density,False,0.22988505747126434,0.22988505747126434,0.0,0.0,0.1,42
RQ6,Bridge Width,clustering,False,0.3145326278659612,0.3076643418310085,-0.006868286034952709,-0.021836481898722584,0.1,42
RQ6,Bridge Width,cohesion,False,0.7722357387100877,0.8857168129997469,0.11348107428965926,0.14695133700910243,0.1,42
RQ6,Bridge Width,bridge trend slope,False,6.360965705585939e-17,-4.820108949308702e-17,-1.118107465489464e-16,-1.7577637063938074,0.1,42
RQ6,Bridge Width,churn distance,False,0.24141234410396958,0.2548256729342659,0.013413328830296306,0.055561901277589844,0.1,42
RQ6,Centralization,bridge width,False,8.0,8.0,0.0,0.0,0.1,42
RQ6,Centralization,centralization,True,0.12315270935960591,0.4864532019704433,0.36330049261083736,2.9499999999999993,0.1,42
RQ6,Centralization,density,False,0.22988505747126434,0.22988505747126434,0.0,0.0,0.1,42
RQ6,Centralization,clustering,False,0.3145326278659612,0.42639956372412513,0.11186693585816393,0.3556608311740437,0.1,42
RQ6,Centralization,cohesion,False,0.7722357387100877,0.6519528223140745,-0.12028291639601318,-0.15575932369684037,0.1,42
RQ6,Centralization,bridge trend slope,False,6.360965705585939e-17,6.360965705585939e-17,0.0,0.0,0.1,42
RQ6,Centralization,churn distance,False,0.24141234410396958,0.3554680661263733,0.11405572202240374,0.47245190566263306,0.1,42
RQ6,Density,bridge width,False,8.0,8.0,0.0,0.0,0.1,42
RQ6,Density,centralization,False,0.12315270935960591,0.12931034482758622,0.006157635467980302,0.05000000000000005,0.1,42
RQ6,Density,density,True,0.22988505747126434,0.2528735632183908,0.022988505747126436,0.1,0.1,42
RQ6,Density,clustering,False,0.3145326278659612,0.37333934583934586,0.05880671797338466,0.1869653980649832,0.1,42
RQ6,Density,cohesion,False,0.7722357387100877,0.7879411718648024,0.015705433154714732,0.020337615015006263,0.1,42
RQ6,Density,bridge trend slope,False,6.360965705585939e-17,6.360965705585939e-17,0.0,0.0,0.1,42
RQ6,Density,churn distance,False,0.24141234410396958,0.30384533130241376,0.06243298719844417,0.25861555435440375,0.1,42
RQ6,Bridge Trend,bridge width,False,8.0,6.333333333333333,-1.666666666666667,-0.20833333333333337,0.1,42
RQ6,Bridge Trend,centralization,False,0.12315270935960591,0.13546798029556648,0.012315270935960562,0.09999999999999977,0.1,42
RQ6,Bridge Trend,density,False,0.22988505747126434,0.22988505747126434,0.0,0.0,0.1,42
RQ6,Bridge Trend,clustering,False,0.3145326278659612,0.3344492544492545,0.019916626583293295,0.06332133718025848,0.1,42
RQ6,Bridge Trend,cohesion,False,0.7722357387100877,0.636451715885136,-0.1357840228249516,-0.1758323475830838,0.1,42
RQ6,Bridge Trend,bridge trend slope,True,6.360965705585939e-17,0.6285714285714284,0.6285714285714283,9881698120451156.0,0.1,42
RQ6,Bridge Trend,churn distance,False,0.24141234410396958,0.2545613605031519,0.01314901639918234,0.05446704247036938,0.1,42
RQ6,Churn,bridge width,False,8.0,8.0,0.0,0.0,0.1,42
RQ6,Churn,centralization,False,0.12315270935960591,0.11699507389162561,-0.006157635467980302,-0.05000000000000005,0.1,42
RQ6,Churn,density,False,0.22988505747126434,0.22988505747126434,0.0,0.0,0.1,42
RQ6,Churn,clustering,False,0.3145326278659612,0.33271725188391854,0.01818462401795734,0.05781474609275436,0.1,42
RQ6,Churn,cohesion,False,0.7722357387100877,0.7738147469833218,0.0015790082732340949,0.0020447231254430267,0.1,42
RQ6,Churn,bridge trend slope,False,6.360965705585939e-17,6.360965705585939e-17,0.0,0.0,0.1,42
RQ6,Churn,churn distance,True,0.24141234410396958,0.36758326787569445,0.12617092377172487,0.5226365877851986,0.1,42
RQ6,Density (unconstrained),bridge width,False,8.0,14.166666666666666,6.166666666666666,0.7708333333333333,0.1,42
RQ6,Density (unconstrained),centralization,False,0.12315270935960591,0.1477832512315271,0.024630541871921194,0.2000000000000001,0.1,42
RQ6,Density (unconstrained),density,False,0.22988505747126434,0.2528735632183908,0.022988505747126436,0.1,0.1,42
RQ6,Density (unconstrained),clustering,False,0.3145326278659612,0.3171059804393138,0.0025733525733526164,0.00818151233089006,0.1,42
RQ6,Density (unconstrained),cohesion,False,0.7722357387100877,1.4017960913547636,0.6295603526446759,0.8152437411097664,0.1,42
RQ6,Density (unconstrained),bridge trend slope,False,6.360965705585939e-17,-0.14285714285714352,-0.14285714285714357,-2245840481920729.2,0.1,42
RQ6,Density (unconstrained),churn distance,False,0.24141234410396958,0.25767745783778084,0.01626511373381126,0.0673748220878313,0.1,42
