end_date,within_sector_mean_abs_corr,cross_sector_mean_abs_corr,within_minus_cross,within_edge_count,cross_edge_count
2022-03-21 00:00:00-04:00,0.7165610066442119,0.23039462134384214,0.4861663853003697,6.0,22.0
2022-06-14 00:00:00-04:00,0.8086740411236207,0.3356670837594933,0.47300695736412746,6.0,22.0
2022-09-08 00:00:00-04:00,0.8117909329431826,0.41106387683769197,0.40072705610549064,6.0,22.0
2022-12-02 00:00:00-05:00,0.8005388739809622,0.46072814197649065,0.3398107320044716,6.0,22.0
2023-03-01 00:00:00-05:00,0.7257049241334143,0.4407844512482404,0.28492047288517386,6.0,22.0
2023-05-24 00:00:00-04:00,0.6037670777375066,0.29088187049803615,0.31288520723947044,6.0,22.0
2023-08-21 00:00:00-04:00,0.4508197737047514,0.19211429243226225,0.25870548127248916,6.0,22.0
2023-11-13 00:00:00-05:00,0.46889094115292446,0.19529589940522332,0.2735950417477011,6.0,22.0
2024-02-08 00:00:00-05:00,0.5269263902342858,0.2218464922034756,0.30507989803081015,6.0,22.0
2024-05-06 00:00:00-04:00,0.397518226107129,0.19244854247645382,0.20506968363067518,6.0,22.0
2024-07-31 00:00:00-04:00,0.3664929634471968,0.20589790483519946,0.16059505861199733,6.0,22.0
2024-10-24 00:00:00-04:00,0.4279359673244513,0.2058570503758787,0.22207891694857262,6.0,22.0
2025-01-22 00:00:00-05:00,0.46774731826903126,0.2602403270523632,0.20750699121666805,6.0,22.0
2025-04-16 00:00:00-04:00,0.5938610553823236,0.39097693016821994,0.20288412521410365,6.0,22.0
2025-07-15 00:00:00-04:00,0.5915454254807117,0.4168732165908805,0.17467220888983115,6.0,22.0
2025-10-07 00:00:00-04:00,0.5503523985417581,0.3520437675587711,0.198308630982987,6.0,22.0
2025-12-31 00:00:00-05:00,0.2499813188914515,0.16532737562861227,0.08465394326283923,6.0,22.0
2026-03-30 00:00:00-04:00,0.243248470863084,0.16935647773169102,0.07389199313139297,6.0,22.0
2026-06-24 00:00:00-04:00,0.22512691768627557,0.2002091067027033,0.024917810983572264,6.0,22.0
2026-09-18 00:00:00-04:00,0.1426661130620888,0.1896238670046711,-0.04695775394258231,6.0,22.0
