dataset,snapshot_count,model,transformation,direction,requested_delta,achieved_delta,delta_mode,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop,seed
email_eu_core,16,trend_bridge_width,Centralization,increase,0.25,3.8018857010643208,relative,61.02500000000005,61.02500000000005,0.0,0.0,achieved,False,42
email_eu_core,16,trend_bridge_width,Centralization,decrease,-0.25,-0.5987679315131884,relative,61.02500000000005,61.02500000000005,0.0,0.0,achieved,False,42
email_eu_core,16,trend_bridge_width,Density,increase,0.25,0.2504787437763309,relative,61.02500000000005,61.02500000000005,0.0,0.0,achieved,False,42
email_eu_core,16,trend_bridge_width,Density,decrease,-0.25,-0.2462657985446189,relative,61.02500000000005,61.02500000000005,0.0,0.0,achieved,False,42
email_eu_core,16,trend_bridge_width,Bridge Trend,increase,0.25,5.745588235294116,absolute,61.02500000000005,50.675,-10.350000000000051,-1.8013821346301604,achieved,False,42
email_eu_core,16,trend_bridge_width,Bridge Trend,decrease,-0.25,-288.60735294117643,absolute,61.02500000000005,-1168.0749999999985,-1229.0999999999985,-4.258727255124758,achieved,False,42
email_eu_core,16,trend_bridge_width,Churn,increase,0.25,0.025992952480084354,relative,61.02500000000005,61.02500000000005,0.0,0.0,achieved,False,42
email_eu_core,16,trend_bridge_width,Churn,decrease,-0.25,-0.0863954403765247,relative,61.02500000000005,61.02500000000005,0.0,0.0,achieved,False,42
email_eu_core,16,trend_bridge_width,Bridge Width,increase,0.5,0.5003750937734434,relative,61.02500000000005,91.47500000000005,30.450000000000003,60.854347826086965,achieved,False,42
email_eu_core,16,trend_bridge_width,Bridge Width,decrease,-0.5,-0.5003750937734434,relative,61.02500000000005,30.57500000000003,-30.450000000000017,-60.85434782608699,achieved,False,42
email_eu_core,16,trend_bridge_width,Centralization,increase,0.5,4.952915316982878,relative,61.02500000000005,61.02500000000005,0.0,0.0,achieved,False,42
email_eu_core,16,trend_bridge_width,Centralization,decrease,-0.5,-0.773166358167515,relative,61.02500000000005,61.02500000000005,0.0,0.0,achieved,False,42
