dataset,transformation,family,claims_edge_count_preservation,snapshots_edge_count_changed,requested_delta,snapshots,snapshots_modified,modified_fraction,last_snapshot_modified,structurally_blocked
email_eu_core,Bridge Width,structural,True,0,0.1,16,16,1.0,True,False
email_eu_core,Bridge Width,structural,True,0,-0.1,16,16,1.0,True,False
email_eu_core,Bridge Width,structural,True,1,0.25,16,16,1.0,True,False
email_eu_core,Bridge Width,structural,True,0,-0.25,16,16,1.0,True,False
email_eu_core,Bridge Width,structural,True,2,0.5,16,16,1.0,True,False
email_eu_core,Bridge Width,structural,True,0,-0.5,16,16,1.0,True,False
email_eu_core,Centralization,structural,True,0,0.1,16,16,1.0,True,False
email_eu_core,Centralization,structural,True,0,-0.1,16,16,1.0,True,False
email_eu_core,Centralization,structural,True,0,0.25,16,16,1.0,True,False
email_eu_core,Centralization,structural,True,0,-0.25,16,16,1.0,True,False
email_eu_core,Centralization,structural,True,0,0.5,16,16,1.0,True,False
email_eu_core,Centralization,structural,True,0,-0.5,16,16,1.0,True,False
email_eu_core,Density,structural,False,0,0.1,16,16,1.0,True,False
email_eu_core,Density,structural,False,0,-0.1,16,16,1.0,True,False
email_eu_core,Density,structural,False,0,0.25,16,16,1.0,True,False
email_eu_core,Density,structural,False,0,-0.25,16,16,1.0,True,False
email_eu_core,Density,structural,False,0,0.5,16,16,1.0,True,False
email_eu_core,Density,structural,False,0,-0.5,16,16,1.0,True,False
email_eu_core,Bridge Trend,temporal,True,0,0.1,16,15,0.9375,False,False
email_eu_core,Bridge Trend,temporal,True,9,-0.1,16,15,0.9375,False,False
email_eu_core,Bridge Trend,temporal,True,0,0.25,16,15,0.9375,False,False
email_eu_core,Bridge Trend,temporal,True,13,-0.25,16,15,0.9375,False,False
email_eu_core,Bridge Trend,temporal,True,0,0.5,16,15,0.9375,False,False
email_eu_core,Bridge Trend,temporal,True,15,-0.5,16,15,0.9375,False,False
email_eu_core,Churn,temporal,True,0,0.1,16,11,0.6875,False,False
email_eu_core,Churn,temporal,True,0,-0.1,16,14,0.875,False,False
email_eu_core,Churn,temporal,True,0,0.25,16,15,0.9375,False,False
email_eu_core,Churn,temporal,True,0,-0.25,16,15,0.9375,False,False
email_eu_core,Churn,temporal,True,0,0.5,16,15,0.9375,False,False
email_eu_core,Churn,temporal,True,0,-0.5,16,15,0.9375,False,False
