dataset,snapshot_count,model,transformation,direction,requested_delta,achieved_delta,delta_mode,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop,seed
decentraland,24,trend_bridge_width,Centralization,decrease,-0.25,-0.501005102829751,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Density,increase,0.25,0.24994499449944987,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Density,decrease,-0.25,-0.24994499449944999,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Bridge Trend,increase,0.25,-28.20782608695653,absolute,1397.6956521739132,678.8478260869567,-718.8478260869565,-25.483985326304747,achieved,False,42
decentraland,24,trend_bridge_width,Bridge Trend,decrease,-0.25,-98.9926086956522,absolute,1397.6956521739132,1928.9130434782612,531.217391304348,5.366232876411503,achieved,False,42
decentraland,24,trend_bridge_width,Churn,increase,0.25,0.09038474328764574,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Churn,decrease,-0.25,-0.11253156748645564,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Bridge Width,increase,0.5,0.499963917153785,relative,1397.6956521739132,2096.557971014493,698.8623188405797,1397.8255127271816,achieved,False,42
decentraland,24,trend_bridge_width,Bridge Width,decrease,-0.5,-0.49996391715378513,relative,1397.6956521739132,698.8333333333337,-698.8623188405795,-1397.825512727181,achieved,False,42
decentraland,24,trend_bridge_width,Centralization,increase,0.5,0.02474099273233335,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Centralization,decrease,-0.5,-0.6525436833152931,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Density,increase,0.5,0.4692440672638693,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Density,decrease,-0.5,-0.49860128870029863,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Bridge Trend,increase,0.5,-38.367391304347834,absolute,1397.6956521739132,481.89492753623205,-915.8007246376812,-23.869246605095658,achieved,False,42
decentraland,24,trend_bridge_width,Bridge Trend,decrease,-0.5,-85.1813043478261,absolute,1397.6956521739132,2168.471014492754,770.7753623188407,9.048644749222035,achieved,False,42
decentraland,24,trend_bridge_width,Churn,increase,0.5,0.16598011628940706,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Churn,decrease,-0.5,-0.24145932352955046,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Bridge Width,increase,0.1,0.10002164970772895,relative,65.62565217391305,72.19000000000001,6.5643478260869585,65.62926971579147,achieved,False,42
decentraland,24,slope_bridge_width,Bridge Width,decrease,-0.1,-0.10002164970772895,relative,65.62565217391305,59.061304347826095,-6.5643478260869585,-65.62926971579147,achieved,False,42
decentraland,24,slope_bridge_width,Centralization,increase,0.1,0.02474099273233335,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Centralization,decrease,-0.1,-0.3030771609710839,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Density,increase,0.1,0.10001571585729996,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Density,decrease,-0.1,-0.09998428414270004,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Bridge Trend,increase,0.1,-15.05086956521739,absolute,65.62565217391305,50.574782608695664,-15.05086956521739,-1.0,achieved,False,42
decentraland,24,slope_bridge_width,Bridge Trend,decrease,-0.1,-118.29565217391311,absolute,65.62565217391305,-52.67000000000005,-118.29565217391311,-1.0,achieved,False,42
decentraland,24,slope_bridge_width,Churn,increase,0.1,0.03817153668927961,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Churn,decrease,-0.1,-0.04295393644366411,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Bridge Width,increase,0.25,0.24998195857689262,relative,65.62565217391305,82.03347826086959,16.407826086956533,65.63604101817454,achieved,False,42
decentraland,24,slope_bridge_width,Bridge Width,decrease,-0.25,-0.2499819585768925,relative,65.62565217391305,49.217826086956535,-16.40782608695652,-65.63604101817451,achieved,False,42
decentraland,24,slope_bridge_width,Centralization,increase,0.25,0.02474099273233335,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Centralization,decrease,-0.25,-0.501005102829751,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Density,increase,0.25,0.24994499449944987,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Density,decrease,-0.25,-0.24994499449944999,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Bridge Trend,increase,0.25,-28.20782608695653,absolute,65.62565217391305,37.417826086956524,-28.20782608695653,-1.0,achieved,False,42
decentraland,24,slope_bridge_width,Bridge Trend,decrease,-0.25,-98.9926086956522,absolute,65.62565217391305,-33.36695652173915,-98.9926086956522,-1.0,achieved,False,42
decentraland,24,slope_bridge_width,Churn,increase,0.25,0.09038474328764574,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Churn,decrease,-0.25,-0.11253156748645564,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Bridge Width,increase,0.5,0.499963917153785,relative,65.62565217391305,98.44130434782609,32.81565217391304,65.63604101817451,achieved,False,42
decentraland,24,slope_bridge_width,Bridge Width,decrease,-0.5,-0.49996391715378513,relative,65.62565217391305,32.81000000000001,-32.815652173913044,-65.63604101817451,achieved,False,42
decentraland,24,slope_bridge_width,Centralization,increase,0.5,0.02474099273233335,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Centralization,decrease,-0.5,-0.6525436833152931,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Density,increase,0.5,0.4692440672638693,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
decentraland,24,slope_bridge_width,Density,decrease,-0.5,-0.49860128870029863,relative,65.62565217391305,65.62565217391305,0.0,0.0,achieved,False,42
