analysis_mode,snapshot_index,label,bridge_width,density,centralization,clustering
temporal_evaluation,0,d160-200,82.0,0.008208955223880597,0.052311557788944724,0.11087707207110192
temporal_evaluation,1,d200-240,103.0,0.009601990049751244,0.06100502512562814,0.12340329653762486
temporal_evaluation,2,d240-280,106.0,0.010099502487562188,0.06050251256281407,0.11553013045550356
temporal_evaluation,3,d280-320,75.0,0.007462686567164179,0.04296482412060301,0.10505409460633341
temporal_evaluation,4,d320-360,99.0,0.009253731343283582,0.05630653266331658,0.13702113254352058
temporal_evaluation,5,d360-400,97.0,0.009701492537313432,0.07100502512562815,0.13145740384546356
temporal_evaluation,6,d400-440,78.0,0.007761194029850746,0.052763819095477386,0.08298047999540537
temporal_evaluation,7,d440-480,139.0,0.013383084577114427,0.08748743718592965,0.1665862002630174
temporal_evaluation,8,d480-520,128.0,0.01218905472636816,0.06344221105527638,0.1729482236944924
temporal_evaluation,9,d520-560,31.0,0.002736318407960199,0.04268844221105528,0.03618021006080708
temporal_evaluation,10,d760-800,25.0,0.0020398009950248755,0.028241206030150755,0.0208955223880597
temporal_evaluation,11,d800-840,11.0,0.0009950248756218905,0.01414572864321608,0.0
