dataset,requested_delta,snapshots,compounding_factor,snapshots_clamped_to_one,clamped_fraction,slope_before,slope_after,slope_change,sign_as_requested
tgbl_uci,0.1,20,6.115909044841464,2,0.1,-6.478195488721806,-4.272180451127822,2.2060150375939838,True
tgbl_uci,-0.1,20,0.13508517176729928,0,0.0,-6.478195488721806,-14.278947368421061,-7.800751879699256,True
tgbl_uci,0.25,20,69.38893903907228,3,0.15,-6.478195488721806,-2.8736842105263167,3.604511278195489,True
tgbl_uci,-0.25,20,0.004228282585245324,0,0.0,-6.478195488721806,-114.54511278195493,-108.06691729323312,True
tgbl_uci,0.5,20,2216.8378200531006,4,0.2,-6.478195488721806,-1.777443609022556,4.70075187969925,True
tgbl_uci,-0.5,20,1.9073486328125e-06,0,0.0,-6.478195488721806,-247.50751879699254,-241.02932330827073,True
