dataset,transformation,property,before,after,change,delta
tgbl_uci,Bridge Width,bridge width,43.5,47.9,4.399999999999999,0.1
tgbl_uci,Bridge Width,centralization,0.09677396382281726,0.09164648910411624,-0.005127474718701022,0.1
tgbl_uci,Bridge Width,density,0.01618347338935574,0.01618347338935574,0.0,0.1
tgbl_uci,Bridge Width,clustering,0.031250225192598534,0.028425309196463338,-0.002824915996135196,0.1
tgbl_uci,Centralization,bridge width,43.5,43.5,0.0,0.1
tgbl_uci,Centralization,centralization,0.09677396382281726,0.1954778521578123,0.09870388833499504,0.1
tgbl_uci,Centralization,density,0.01618347338935574,0.01618347338935574,0.0,0.1
tgbl_uci,Centralization,clustering,0.031250225192598534,0.05879469826884527,0.027544473076246738,0.1
tgbl_uci,Density,bridge width,43.5,43.5,0.0,0.1
tgbl_uci,Density,centralization,0.09677396382281726,0.09640364620424441,-0.0003703176185728546,0.1
tgbl_uci,Density,density,0.01618347338935574,0.01780812324929972,0.0016246498599439795,0.1
tgbl_uci,Density,clustering,0.031250225192598534,0.03249488167966372,0.0012446564870651836,0.1
tgbl_uci,Bridge Trend,bridge width,43.5,29.6,-13.899999999999999,0.1
tgbl_uci,Bridge Trend,centralization,0.09677396382281726,0.0809642501068224,-0.015809713715994864,0.1
tgbl_uci,Bridge Trend,density,0.01618347338935574,0.01618347338935574,0.0,0.1
tgbl_uci,Bridge Trend,clustering,0.031250225192598534,0.02704505954722721,-0.004205165645371323,0.1
tgbl_uci,Churn,bridge width,43.5,43.5,0.0,0.1
tgbl_uci,Churn,centralization,0.09677396382281726,0.09677396382281726,0.0,0.1
tgbl_uci,Churn,density,0.01618347338935574,0.01618347338935574,0.0,0.1
tgbl_uci,Churn,clustering,0.031250225192598534,0.031250225192598534,0.0,0.1
