dataset,transformation,property,before,after,change,delta
bitcoin_otc,Bridge Width,bridge width,27.428571428571427,30.19047619047619,2.7619047619047628,0.1
bitcoin_otc,Bridge Width,centralization,0.09434282187451251,0.09190116724655963,-0.0024416546279528856,0.1
bitcoin_otc,Bridge Width,density,0.013271975456849404,0.013271975456849404,0.0,0.1
bitcoin_otc,Bridge Width,clustering,0.046310781390316066,0.04239575060248067,-0.003915030787835394,0.1
bitcoin_otc,Centralization,bridge width,27.428571428571427,27.428571428571427,0.0,0.1
bitcoin_otc,Centralization,centralization,0.09434282187451251,0.17573130947294172,0.0813884875984292,0.1
bitcoin_otc,Centralization,density,0.013271975456849404,0.013271975456849404,0.0,0.1
bitcoin_otc,Centralization,clustering,0.046310781390316066,0.06703178107453939,0.02072099968422332,0.1
bitcoin_otc,Density,bridge width,27.428571428571427,27.428571428571427,0.0,0.1
bitcoin_otc,Density,centralization,0.09434282187451251,0.0950210592711661,0.0006782373966535832,0.1
bitcoin_otc,Density,density,0.013271975456849404,0.014605842336934773,0.0013338668800853687,0.1
bitcoin_otc,Density,clustering,0.046310781390316066,0.045003901437268255,-0.0013068799530478112,0.1
bitcoin_otc,Bridge Trend,bridge width,27.428571428571427,16.666666666666668,-10.76190476190476,0.1
bitcoin_otc,Bridge Trend,centralization,0.09434282187451251,0.0898664550565989,-0.004476366817913607,0.1
bitcoin_otc,Bridge Trend,density,0.013271975456849404,0.013271975456849404,0.0,0.1
bitcoin_otc,Bridge Trend,clustering,0.046310781390316066,0.04109123553045859,-0.005219545859857476,0.1
bitcoin_otc,Churn,bridge width,27.428571428571427,27.428571428571427,0.0,0.1
bitcoin_otc,Churn,centralization,0.09434282187451251,0.09434282187451251,0.0,0.1
bitcoin_otc,Churn,density,0.013271975456849404,0.013271975456849404,0.0,0.1
bitcoin_otc,Churn,clustering,0.046310781390316066,0.046310781390316066,0.0,0.1
