dataset,requested_delta,snapshots,compounding_factor,snapshots_clamped_to_one,clamped_fraction,slope_before,slope_after,slope_change,sign_as_requested
sx_mathoverflow,0.1,20,6.115909044841464,1,0.05,-13.67969924812031,-1.2203007518797029,12.459398496240606,True
sx_mathoverflow,-0.1,20,0.13508517176729928,0,0.0,-13.67969924812031,-79.8323308270677,-66.15263157894738,True
sx_mathoverflow,0.25,20,69.38893903907228,1,0.05,-13.67969924812031,1.6932330827067668,15.372932330827076,True
sx_mathoverflow,-0.25,20,0.004228282585245324,0,0.0,-13.67969924812031,-237.03157894736856,-223.35187969924826,True
sx_mathoverflow,0.5,20,2216.8378200531006,2,0.1,-13.67969924812031,1.940601503759399,15.620300751879709,True
sx_mathoverflow,-0.5,20,1.9073486328125e-06,0,0.0,-13.67969924812031,-158.87218045112795,-145.19248120300765,True
